Term_PK	Term_Name	Identifier	Is_Leaf	Definition	Comment	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
"NCIT:C25330MS1"	"Duration"	"NCIT:C25330"	"1"	"""The period of time during which something continues."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Temporal Qualifier"	"NCIT:C21514"	"IsA"	"Qualifier"	"NCIT:C41009"
"NCIT:C45781MS1"	"Density"	"NCIT:C45781"	"1"	"""The amount of something per unit size."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Characteristic"	"NCIT:C25447"	"IsA"	"Property or Attribute"	"NCIT:C20189"
"NCIT:C68811MS1"	"Cover"	"NCIT:C68811"	"1"	"""Span a region or interval of distance, space or time."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Action"	"NCIT:C25404"	"IsA"	"Activity"	"NCIT:C43431"
"NCIT:C79083MS1"	"Outlier"	"NCIT:C79083"	"1"	"""An observation in a data set that is numerically distant from the rest of the data."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Conceptual Entity"	"NCIT:C20181"	\N	\N	\N
"NCIT:C21514MS1"	"Temporal Qualifier"	"NCIT:C21514"	"0"	"""Terms used to indicate units of time or other terms associated with time."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Qualifier"	"NCIT:C41009"	"IsA"	"Property or Attribute"	"NCIT:C20189"
"NCIT:C41009MS1"	"Qualifier"	"NCIT:C41009"	"0"	"""A term that helps define and render a concept unique."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Property or Attribute"	"NCIT:C20189"	\N	\N	\N
"NCIT:C25447MS1"	"Characteristic"	"NCIT:C25447"	"0"	"""The distinguishing qualities or prominent aspect of a person, object, action, process, or substance."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Property or Attribute"	"NCIT:C20189"	\N	\N	\N
"NCIT:C20189MS1"	"Property or Attribute"	"NCIT:C20189"	"0"	"""A distinguishing quality or prominent aspect of a person, object, action, process, or substance."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	\N	\N	\N	\N	\N	\N
"NCIT:C25404MS1"	"Action"	"NCIT:C25404"	"0"	"""A thing done."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Activity"	"NCIT:C43431"	\N	\N	\N
"NCIT:C43431MS1"	"Activity"	"NCIT:C43431"	"0"	"""An active process; excludes processes and mechanisms which fulfill biological functions."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	\N	\N	\N	\N	\N	\N
"NCIT:C20181MS1"	"Conceptual Entity"	"NCIT:C20181"	"0"	"""An organizational header for concepts representing mostly abstract entities."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	\N	\N	\N	\N	\N	\N
"NCIT:C16847MS1"	"Technique"	"NCIT:C16847"	"0"	"""A practiced and regimented skill or series of actions."" [] {http://purl.obolibrary.org/obo/NCIT_C16847=""NCI""}"	\N	"IsA"	"Activity"	"NCIT:C43431"	\N	\N	\N
"NCIT:C19044MS1"	"Statistical Technique"	"NCIT:C19044"	"0"	"""A method of analyzing or representing statistical data; a procedure for calculating a statistic."" [] {http://purl.obolibrary.org/obo/NCIT_C19044=""NCI""}"	\N	"IsA"	"Technique"	"NCIT:C16847"	"IsA"	"Activity"	"NCIT:C43431"
"NCIT:C60694MS1"	"Principal Component"	"NCIT:C60694"	"1"	"""One of the axes representing the projection of varience resulting from principal component analysis."" [] {http://purl.obolibrary.org/obo/NCIT_C60694=""NCI""}"	\N	"IsA"	"Statistical Technique"	"NCIT:C19044"	"IsA"	"Technique"	"NCIT:C16847"
"NCIT:C25337MS1"	"Number"	"NCIT:C25337"	"0"	"""A numeral or string of numerals expressing value, quantity, or identification."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Property or Attribute"	"NCIT:C20189"	\N	\N	\N
"NCIT:C150827MS1"	"Number of Occurrences"	"NCIT:C150827"	"1"	"""The number of times something happened."" [] {http://purl.obolibrary.org/obo/NCIT_P378=""NCI""}"	\N	"IsA"	"Number"	"NCIT:C25337"	"IsA"	"Property or Attribute"	"NCIT:C20189"
"MS:0000000MS1"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	"MS:0000000"	"0"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies."	\N	\N	\N	\N	\N	\N	\N
"MS:1000001MS1"	"sample number"	"MS:1000001"	"1"	"A reference number relevant to the sample under study."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000001MS1"	"sample number"	"MS:1000001"	"1"	"A reference number relevant to the sample under study."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000002MS1"	"sample name"	"MS:1000002"	"1"	"A reference string relevant to the sample under study."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000002MS1"	"sample name"	"MS:1000002"	"1"	"A reference string relevant to the sample under study."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000003MS1"	"sample state"	"MS:1000003"	"0"	"The chemical phase of a pure sample, or the state of a mixed sample."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000003MS1"	"sample state"	"MS:1000003"	"0"	"The chemical phase of a pure sample, or the state of a mixed sample."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000004MS1"	"sample mass"	"MS:1000004"	"1"	"Total mass of sample used."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
